$1000 Damage to Any One Person's Property,Bridge Detail,Construction Zone Flag,Construction Zone Workers Present Flag,Crash Time,Day of Week,Highway System,Intersecting Highway Number,Intersecting Street Name,Manner of Collision,Median Type,Median Width,Number of Entering Roads,Number of Lanes,Surface Condition,Surface Type,Surface Width,Weather Condition,Crash Severity
Yes,NOT APPLICABLE,No,No,1110,THURSDAY,STATE SPUR,35,IH0035E,ANGLE - BOTH GOING STRAIGHT,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,705,SATURDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,14,MONDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1246,SATURDAY,STATE SPUR,No Data,PEARL ST,ANGLE - BOTH GOING STRAIGHT,No Data,No Data,98 - OTHER (EXPLAIN IN NARRATIVE),No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,915,THURSDAY,STATE SPUR,No Data,,ANGLE - BOTH GOING STRAIGHT,No Data,No Data,3 - THREE ENTERING ROADS - Y,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,230,SATURDAY,STATE SPUR,No Data,N RIVERFRONT BLVD,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,No Data,4 - FOUR ENTERING ROADS,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1530,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,805,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,240,SUNDAY,STATE SPUR,No Data,N ST PAUL ST,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,No Data,2 - THREE ENTERING ROADS - T,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,33,FRIDAY,STATE SPUR,No Data,N ST PAUL ST,ANGLE - BOTH GOING STRAIGHT,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1010,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2336,THURSDAY,STATE SPUR,No Data,ROUTH ST,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2115,TUESDAY,STATE SPUR,345,IH0345,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,915,MONDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,745,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,98 - OTHER (EXPLAIN IN NARRATIVE),No Data,2 - WET,No Data,No Data,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,2145,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,750,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,834,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1800,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,750,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,2055,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2330,SATURDAY,STATE SPUR,345,IH0345,ANGLE - BOTH GOING STRAIGHT,No Data,40,98 - OTHER (EXPLAIN IN NARRATIVE),8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,655,WEDNESDAY,STATE SPUR,No Data,BRYAN ST,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1810,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1830,SATURDAY,STATE SPUR,345,IH0345,ANGLE - BOTH GOING STRAIGHT,No Data,40,2 - THREE ENTERING ROADS - T,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2045,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2020,WEDNESDAY,STATE SPUR,345,IH0345,ANGLE - BOTH GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,2 - WET,No Data,96,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,1434,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1515,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,100,MONDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - BOTH RIGHT TURN,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1010,MONDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,2030,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1805,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1800,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,335,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,200,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1530,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,2016,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,2 - THREE ENTERING ROADS - T,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,2225,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,2 - WET,No Data,72,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1350,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2353,WEDNESDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1630,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1640,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,1012,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1415,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1830,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1510,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,120,WEDNESDAY,STATE SPUR,345,IH0345,ANGLE - BOTH GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2320,SUNDAY,STATE SPUR,No Data,N PEARL ST,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,No Data,4 - FOUR ENTERING ROADS,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2345,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,2 - WET,No Data,96,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,1840,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,15,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,1003,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1115,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,404,THURSDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1438,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1455,SATURDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,540,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,745,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1527,WEDNESDAY,STATE SPUR,No Data,ROUTH ST,ANGLE - BOTH GOING STRAIGHT,No Data,No Data,4 - FOUR ENTERING ROADS,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,300,SATURDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1830,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,Yes,1055,MONDAY,STATE SPUR,35,IH0035E,ANGLE - BOTH GOING STRAIGHT,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,100,SUNDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,2 - WET,No Data,96,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,1455,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,323,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,1230,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1853,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,115,FRIDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
No,NOT APPLICABLE,Yes,No,1038,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,119,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,436,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1644,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,745,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1925,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1845,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1537,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,6,2 - WET,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1025,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1415,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1953,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,830,THURSDAY,STATE SPUR,No Data,,OPPOSITE DIRECTION - ONE STRAIGHT-ONE BACKING,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,1825,MONDAY,STATE SPUR,345,IH0345,SAME DIRECTION - BOTH LEFT TURN,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,7,SATURDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2253,SUNDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1225,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1932,SUNDAY,STATE SPUR,35,IH0035E,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,4 - FOUR ENTERING ROADS,6,1 - DRY,No Data,72,1 - CLEAR,Serious
Yes,NOT APPLICABLE,No,No,2215,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2050,THURSDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,2 - WET,No Data,96,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,1430,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,2 - WET,No Data,72,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,717,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1930,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2020,TUESDAY,STATE SPUR,345,IH0345,ANGLE - BOTH GOING STRAIGHT,No Data,40,4 - FOUR ENTERING ROADS,8,2 - WET,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,2330,SATURDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1900,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,1714,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,650,SATURDAY,STATE SPUR,No Data,N PEARL ST,ANGLE - BOTH GOING STRAIGHT,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1305,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,1115,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,2000,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2100,FRIDAY,STATE SPUR,345,IH0345,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,2 - WET,No Data,96,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,1020,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1805,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2330,SATURDAY,STATE SPUR,No Data,N PEARL ST,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,98 - OTHER (EXPLAIN IN NARRATIVE),8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1248,TUESDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,No Data,98 - OTHER (EXPLAIN IN NARRATIVE),No Data,1 - DRY,No Data,No Data,1 - CLEAR,Serious
Yes,NOT APPLICABLE,No,No,1610,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,639,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1830,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Serious
Yes,NOT APPLICABLE,No,No,1925,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1149,THURSDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,98 - OTHER (EXPLAIN IN NARRATIVE),8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2230,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
